Country,Edu,Sex,Age,px,lx,dx,Lx,Tx,ex.derived,ex.original,diff
HR,higher,F,4,0.9997025813153327,99774,30,99759,7729962,77.47471285104336,77.5,0.025287148956635974
HR,higher,F,5,0.9999035641319529,99744,9,99740,7630203,76.497864533205,76.5,0.0021354667949964323
HR,higher,F,6,0.9999638726206344,99735,4,99733,7530463,75.50471750137865,75.5,-0.004717501378650013
HR,higher,F,7,0.9999859027089678,99731,1,99730,7430730,74.50772578235453,74.5,-0.0077257823545267
HR,higher,F,8,0.9998496270285175,99730,15,99722,7331000,73.50847287676727,73.5,-0.008472876767271487
HR,higher,F,9,0.9998113176789195,99715,19,99706,7231278,72.51946046231761,72.5,-0.01946046231761045
HR,higher,F,10,0.999751266351423,99696,25,99684,7131572,71.53318086984433,71.5,-0.033180869844329663
HR,higher,F,11,0.9996850654246218,99671,31,99656,7031888,70.5509927662008,70.5,-0.05099276620080673
HR,higher,F,12,0.9997442079620732,99640,26,99627,6932232,69.57278201525492,69.6,0.02721798474507864
HR,higher,F,13,0.9998276624310485,99614,17,99606,6832605,68.59081052864055,68.6,0.009189471359448476
HR,higher,F,14,0.9998591713141622,99597,14,99590,6732999,67.6024277839694,67.6,-0.0024277839694093473
HR,higher,F,15,0.9999068019754759,99583,9,99578,6633409,66.61186146229778,66.6,-0.011861462297787284
HR,higher,F,16,0.9999954999175488,99574,1,99574,6533831,65.6178420069496,65.6,-0.017842006949607025
HR,higher,F,17,0.9999879218048036,99573,1,99572,6434257,64.61849095638375,64.6,-0.01849095638375786
HR,higher,F,18,0.999956487947399,99572,4,99570,6334685,63.61913991885269,63.6,-0.019139918852687288
HR,higher,F,19,0.999977023182829,99568,3,99566,6235115,62.62167563875944,62.6,-0.02167563875944012
HR,higher,F,20,0.9999839539096795,99565,1,99564,6135549,61.62355245317129,61.6,-0.023552453171291177
HR,higher,F,21,0.9999837444190175,99564,2,99563,6035985,60.6241713872484,60.6,-0.024171387248401288
HR,higher,F,22,0.9999637171572082,99562,3,99560,5936422,59.62537916072397,59.6,-0.02537916072397195
HR,higher,F,23,0.999994954932663,99559,1,99558,5836862,58.62716580118322,58.6,-0.027165801183215876
HR,higher,F,24,0.9998920645648739,99558,11,99552,5737304,57.627754675666445,57.6,-0.027754675666443518
HR,higher,F,25,0.999831527364872,99547,16,99539,5637752,56.63407234773524,56.6,-0.034072347735239816
HR,higher,F,26,0.9997870390878456,99531,22,99520,5538213,55.64309612080658,55.6,-0.043096120806580984
HR,higher,F,27,0.9996735063753367,99509,32,99493,5438693,54.65528746143565,54.6,-0.05528746143564689
HR,higher,F,28,0.9995848003027418,99477,41,99456,5339200,53.67270826422188,53.6,-0.07270826422188037
HR,higher,F,29,0.9996612404231694,99436,34,99419,5239744,52.69463775694919,52.7,0.005362243050811344
HR,higher,F,30,0.9997817145207744,99402,22,99391,5140325,51.712490694352226,51.7,-0.012490694352223386
HR,higher,F,31,0.9998129642299192,99380,18,99371,5040934,50.723827731938016,50.7,-0.02382773193801313
HR,higher,F,32,0.9999253109251597,99362,8,99358,4941563,49.732926068315855,49.7,-0.03292606831585232
HR,higher,F,33,0.9999836506289358,99354,1,99354,4842205,48.73689031141172,48.7,-0.03689031141171739
HR,higher,F,34,0.9998991385311536,99353,10,99348,4742851,47.73737078900486,47.7,-0.03737078900486068
HR,higher,F,35,0.9996728005495267,99343,33,99326,4643503,46.74212576628449,46.7,-0.04212576628448517
